职位名称,技能,薪资,学历要求,地区
iOS开发工程师,"['Swift', '网络协议', 'Restful', 'Objective-C', 'Xcode', 'iOS', 'GIT']",10-15K,大专,上海
电商运营助理,"['电商店铺运营', '平台品类运营', '食品饮料', '淘宝/天猫', '京东']",5-6K·13薪,本科,上海
人事主管,['团队搭建经验'],15-20K·13薪,本科,上海
医学统计经理,"['SPSS', 'SAS', '生物统计学']",15-30K·14薪,硕士,上海
火锅厨师（食品加工厂）,"['面点/主食', '中央厨房/半成品加工', '1-3年']",6-9K,学历不限,上海
模具设计工程师,['周末单休'],8-13K,大专,上海
保洁员（国开发）,"['餐补', '话补', '交通补助', '加班费', '意外险', '高温补贴', '环境好']",3-5K,初中及以下,上海
啄木鸟家庭维修招聘家电维修,"['就近分配', '商业保险', '上门维修', '自备交通工具', '会用导航']",10-15K,学历不限,上海
FAE工程师,"['芯片设计', 'ARM开发', 'C++']",15-25K·13薪,本科,上海
结构工程师,"['3C', '精密仪器', '医疗/制药', '机械工程专业', 'AutoCAD']",10-15K,本科,上海
.NET 全栈开发工程师,"['.NET', '.NETCore', 'MySQL/SQLServer/Oracle', '.NET开发经验']",15-20K,大专,上海
销售工程师-应届/近届毕业生,"['客户开发与维护', '市场信息搜集与分析', '化工']",6-10K,大专,上海
项目经理/主管,"['OTA', 'FOTA']",25-45K·15薪,本科,上海
sdl安全工程师,"['BurpSuite', 'SQLmap', '计算机/信息安全相关专业', 'SDL经验']",35-60K·16薪,学历不限,上海
联合创始人,"['公司管理', '市场营销管理', '销售管理', '品牌管理', '公关管理']",20-30K·14薪,本科,上海
库存车辆审计员,"['风险控制', '金融']",7-9K,大专,上海
二生三后招聘厨师,"['西餐', '沙司', '绩效奖金', '主厨', '西餐厨师', '1-3年', '甜品']",5-10K,高中,上海
高级电机工艺工程师,['电机工艺'],15-30K,本科,上海
自动化工程师,"['CAD', 'SolidWorks']",7-12K,大专,上海
投资经理,"['医疗健康', '投资机构（VC/PE）', '投行/FA', '私募基金', '股权']",18-23K,硕士,上海
项目助理,['工程项目'],6-8K,学历不限,上海
客户经理/顾问（晋升快）,"['美容销售', '美容导师', '美容师', '皮肤管理', '美体师', '统筹能力']",8-13K,学历不限,上海
上汽集团客服/国企/饭补,"['客服', '客服专员']",5-6K·13薪,高中,上海
策划经理,"['social传播', '策划经理', '种草方案', 'socialcampaign']",18-23K,本科,上海
律师助理,"['诉讼/非诉讼', '综合类助理', '公检法工作经验']",5-6K,本科,上海
高薪聘请美容师、顾问、店长,"['普通话标准', '熟悉商务礼仪', '亲和力强']",10-15K,中专/中技,上海
游戏运营,"['游戏推广', '游戏发行', '游戏', '游戏活动', '游戏社区运营']",15-25K·14薪,本科,上海
室内设计师,"['设计师', '设计总监', '全职兼职均可']",5-8K,大专,上海
资深奖旅团控,"['旅游行程规划', '自组团', '商务旅行']",8-11K,大专,上海
电子工程师,"['电气', '传感器', '电控', '电子相关专业', '掌握C/C++', 'Protel']",15-25K,本科,上海
同期收音师,"['音效设计', '录音/混音', '同期声']",4-6K·13薪,本科,上海
店务前台,"['前台', '档案', '后勤']",4-6K,高中,上海
文案,"['新媒体文案', '广告文案', '文案策划', '新媒体平台', '线上推广']",9-12K,大专,上海
客户经理am,['广告地产'],12-15K,学历不限,上海
心理咨询师,"['神经症', '人际关系', '心理咨询师证', '心理咨询师']",10-11K,本科,上海
餐饮店长,"['餐厅运营', '包吃包住', '环境好', '有无线网', '就近分配', '火锅店']",8-10K,学历不限,上海
资深数仓工程师,"['数据建模经验', '数仓设计/开发经验']",18-25K,本科,上海
课程顾问/销售专员,"['全职工作', '培训机构', '线下教育']",8-13K,高中,上海
软件实施工程师,"['数据库', '实施', '项目管理']",5-8K,大专,上海
高级责任编辑,"['责任编辑', '影视', '阅读量']",12-20K·13薪,本科,上海
电气技术员,['PLC工程师'],4-5K,中专/中技,上海
东滩餐厅兼职全职早晚班就近分配,"['西餐', '自助餐/快餐']",4-5K,学历不限,上海
客户经理,"['企业服务', '对企业/机构（ToB）销售经验', 'erp', '软件销售']",15-20K,大专,上海
上海依拓招聘厨师,"['主厨', '中央厨房/半成品加工', '中餐', '1-3年', '月休四天']",5-7K,初中及以下,上海
嵌入式软件工程师,"['ARM', '单片机', '嵌入式']",18-35K,本科,上海
渠道总监,"['销售工作经验', '销售管理经验', '商务谈判能力']",20-40K,大专,上海
美工,"['电商美工', '美工', '网页设计']",6-7K·13薪,大专,上海
游戏角色模型,"['次世代高模', '3dsMAX', 'Maya', 'ZBrush', 'MD']",25-40K,学历不限,上海
安上招聘面包/烘焙师,['现烤师'],5-7K,学历不限,上海
来华签证实习生,"['签证材料撰写', '送签员']",150-200元/天,本科,上海
EHS管理员,['施工安全员'],7-9K,大专,上海
加工中心编程调机,"['三菱', '机器设计', '机电一体化', 'AutoCAD', '产品工艺']",7-9K,学历不限,上海
PM,"['PM', '项目工程师']",8-10K·14薪,大专,上海
cnc编程,"['法兰克', '熟悉刀具/夹具/量具', '非标零件经验']",9-14K,学历不限,上海
数字后端设计经理,"['Perl', 'PCB设计']",50-80K·14薪,本科,上海
家装设计师,"['酷家乐', 'CAD', '设计师', '主案设计师']",10-15K,大专,上海
底薪8K+高额提成+管培生+带薪培训/年假,"['广告', '进出口贸易', '个人（ToC）', '房地产销售经验']",8-13K,本科,上海
课程顾问,"['全职工作', '培训机构', '线下教育', '中学生']",6-11K,高中,上海
医疗软件产品经理,['产品设计'],20-30K·15薪,本科,上海
SAP FICO 顾问,['SAPFICO'],20-30K·14薪,本科,上海
高薪销售专员,"['电话销售', '个人（ToC）', '面销/陌拜', '其他产品/服务']",7-12K·14薪,学历不限,上海
AE(媒介执行）,"['媒介代理商/服务商', '线上媒介', '线下媒介']",8-13K,大专,上海
高级数据产品经理,['大数据产品'],15-25K,本科,上海
销售专员,"['电话销售经验', '网络营销经验', '面销/陌拜经验', '企业（ToB）']",10-15K,大专,上海
陈列设计,"['陈列指引', '区域划分', '节日/主题设计', '执行陈列师', 'PS', 'AI']",8-12K,大专,上海
初级运维工程师,"['Windows', 'Linux', '桌面运维']",5-6K·13薪,大专,上海
高级工程师,"['医疗器械', '高级工程师']",15-18K,本科,上海
销售专员,"['电话销售', '门店/柜台销售', '企业（ToB）', '网络销售']",4-8K,学历不限,上海
家政服务员,"['家政服务员', '家政保姆', '家政']",5-8K,学历不限,上海
高级课程顾问,"['全职工作', '培训机构', '线上教育', '线下教育', '成人/通用']",9-14K,本科,上海
媒体软件开发专家/工程师,"['嵌入式技术', 'Linux', 'ARM开发', '音视频编解码', '流媒体技术']",28-55K·13薪,本科,上海
美甲美睫师,"['日式美睫', '全职兼职均可']",10-15K,学历不限,上海
系统工程师,['Android'],20-30K·14薪,大专,上海
放射技师,"['技师', '体检中心', '初级放射技士']",8-12K,大专,上海
软件质量管理,['质量管理'],20-40K·15薪,本科,上海
短视频运营,"['时尚', '短视频平台', '抖音/快手平台', '视频', '多平台运营']",10-15K,学历不限,上海
资深测试开发工程师,"['Shell', 'Python', 'Linux']",20-35K·14薪,本科,上海
市场租赁经理,"['销售经验', '房地产行业经验', '周末双休', '客户开发']",15-25K,大专,上海
房产销售,"['个人（ToC）', '无经验要求', '电话销售经验', '面销/陌拜经验']",10-15K,高中,上海
高级嵌入式软件工程师,"['计算机相关专业', '嵌入式/单片机开发经验', '通信相关专业']",15-30K·13薪,本科,上海
全屋定制设计师,"['延展设计', 'CAD', '酷家乐', '设计师', '田园风格', '简约风格']",8-9K,高中,上海
设计总监,"['普通住宅', '别墅', '3DsMAX', '独立完成效果图']",5-10K,大专,上海
全视频策划岗,"['广告', '媒介媒体', '视频', '广告策划', '市场策划', '乙方经验']",6-8K,本科,上海
机构业务岗,['机构'],10-11K,本科,上海
电子工程师,"['电路设计', '频谱分析仪', '仿真分析', '硬件工程师']",10-15K·14薪,本科,上海
游戏3D动画,['游戏动画'],20-40K·14薪,学历不限,上海
ERP运维工程师,['系统运维'],10-15K,本科,上海
新能源汽车销售,"['电话销售', '一对一培训', '汽车服务', '提供销售培训', '新车']",15-30K,中专/中技,上海
实习（VC分析师）,['留任全程参与机会'],190-200元/天,硕士,上海
日式美甲美睫师,"['包住', '加班费', '带薪年假', '做六休一']",11-22K,中专/中技,上海
音频Audio算法工程师,['通信'],15-30K·13薪,学历不限,上海
大客户知识产权顾问,"['定制解决方案', '客户关系维护', '企业服务', '较多外勤']",10-15K,大专,上海
嵌入式软件工程师（单片机方向）,"['RTOS', 'STM32开发', 'C++', '通信相关专业', 'C', 'ARM开发']",18-30K·13薪,本科,上海
golang开发工程师,"['Golang', 'Kubernetes', 'Docker']",20-28K·14薪,本科,上海
OP运维工程师（上二休二）,['运维'],6-8K,大专,上海
产品主管,"['TOB', '市场调研', '产品助理', '建材', '材料', '家具', '膜']",8-12K,本科,上海
Python开发工程师,"['后端', '机器学习/算法工程', 'Python', 'Flask', 'Django']",25-30K·14薪,本科,上海
儿童眼病及视光医生,['视光'],15-30K,硕士,上海
上海希成餐饮管理...招聘凉菜厨师,['中餐'],5-6K,学历不限,上海
汽车功能安全技术咨询工程师,['五险一金'],30-60K,本科,上海
星巴克咖啡招聘店员/营业员,"['兼职', '饮料酒品', '休闲娱乐', '月结']",20-25元/时,初中及以下,上海
售前工程师,"['技术沟通', '网络安全', '售前方案']",10-15K,大专,上海
c++/c#软件开发工程师,"['网络协议', 'WPF', 'QT', 'OpenCV', 'CLR', 'Git', 'Winform', 'C#']",10-15K,本科,上海
运维工程师,"['桌面运维', '网络运维', '系统运维', '运维经验', 'Linux', '系统运维']",15-30K·13薪,本科,上海
奢侈品维修工艺师,['箱包'],6-11K,学历不限,上海
项目经理,"['技术管理', '硬件实施', '工程管理']",12-20K,大专,上海
机器视觉算法工程师,"['研究导向', '语音/图像识别', '智能驾驶', 'Java', 'Python']",20-21K,本科,上海
光学工程师,"['Matlab', '光学设计']",9-14K·14薪,本科,上海
