工业人工智能技术专家,"['人工智能', 'AI算法']",25-45K,本科,上海
人工智能编辑实习生,"['兼职工作', '英语计算机教育科技', '工业科学医疗金融装修', '']",150-200元/天,本科,北京
人工智能研发工程师,"['深度学习算法', '视觉图像算法', 'Python', 'Java', '人工智能', '', '', '']",6-11K,硕士,烟台
人工智能应用工程师,"['C++', '计算机相关专业', '游戏开发']",10-15K,大专,北京
人工智能算法工程师,"['搜索/推荐', '语音/图像识别', 'TensorFlow/PyTorch', '']",85-90元/时,硕士,北京
新型人工智能平台FPGA研究专员,"['Verilog', 'VHDL', 'Vivado']",20-35K·15薪,博士,杭州
人工智能销售,"['电话销售', '五险一金', '年终奖', '面销/陌拜', '软件/企业服务产品', '', '', '', '', '']",12-24K,大专,北京
人工智能老师,"['智能驾驶', '语音/图像识别', 'Python', '计算机相关专业']",13-18K,硕士,承德
人工智能基地活动策划,"['教育培训', '策划']",4-6K,大专,石家庄
人工智能算法工程师,"['C++', 'Python', '算法设计', '深度学习算法', 'TensorFlow', '']",8-13K,本科,成都
【人工智能】模型训练工程师,"['NLP', 'C/C++', '后台/服务器']",20-40K,硕士,北京
人工智能算法工程师,"['算法基础', '软件工程师', 'Linux', 'Windows', 'SQLite', 'python']",4-9K,大专,济南
人工智能开发工程师,"['语音/图像识别', 'C/C++', 'TensorFlow/PyTorch', 'OpenCV']",18-25K,硕士,成都
青年博士后(人工智能+金融),['业务导向/研究导向'],30-45K·14薪,博士,宁波
人工智能项目部助理,"['电商/零售项目', '项目助理']",3-4K,大专,娄底
人工智能算法工程师,"['C/C++', 'OpenCV', '机器学习算法/工程化经验', '', '', '', '', '']",11-22K,硕士,昆明
人工智能软件系统工程师,['计算架构 异构计算 人工智能 类脑计算'],15-30K·13薪,大专,深圳
人工智能数字广告营销（招代理）,['兼职'],3-4K,学历不限,随州
人工智能工程师,"['深度学习算法', '自然语言处理', '视觉图像算法', '人脸识别']",12-19K,本科,深圳
人工智能应用实习工程师,"['后端', '机器学习/算法工程', 'Python', 'C/C++', 'PyTorch', '', '', '']",150-200元/天,本科,上海
CTO(医疗人工智能大数据方向),"['分布式技术', '数据结构', '多线程', '微服务架构', '多进程']",80-110K·14薪,博士,上海
人工智能与智能制造工程师,"['自动化测试', 'Java', 'C/C++']",15-30K·15薪,本科,北京
人工智能专任教师,['教师'],8-10K·13薪,硕士,马鞍山
兼职人工智能--课程视频兼职讲师,"['Python', 'python爬虫', '机器学习']",15-16K,本科,广州
人工智能算法工程师（AIGC）,"['机器学习算法/工程化经验', '深度学习经验', '图像生成', '', '']",40-60K·15薪,本科,北京
保险风险人工智能岗,"['风险管理研究', '精算评估及相应分析工作', '互联网金融', '', '', '', '']",15-20K,硕士,北京
人工智能算法工程师,"['业务导向', '语音/图像识别', 'TensorFlow/PyTorch', '', '', '', '']",30-50K·15薪,硕士,北京
人工智能研发工程师,"['深度学习算法', '视觉图像算法', 'Python', 'C语言', '人工智能', '', '', '']",14-28K·13薪,硕士,上海
人工智能算法工程师,"['Tensorflow', '机器学习', 'Caffe']",30-50K,硕士,北京
人工智能算法工程师,['Java'],15-25K,本科,晋城
人工智能驱动科学计算见习研究员,"['生物医疗', 'C/C++', 'Python', 'TensorFlow/PyTorch']",300-350元/天,硕士,上海
人工智能-NLP知识图谱工程师,"['Python', 'Word2vec', 'PyTorch']",20-30K,本科,天津
课程顾问+人工智能+月入过万,"['小学教育', 'K12销售经验', '高中教育', '初中教育']",10-15K,大专,阳江
互联网人工智能软件开发,"['视觉图像算法', '自然语言处理', 'Python', 'Java', 'C语言', 'Perl', '', '']",9-14K,学历不限,重庆
人工智能与系统控制方向博士后,"['研究导向', '云计算', '智能驾驶', 'C/C++', '数学/统计相关专业', '', '']",30-50K,博士,重庆
人工智能训练师,"['全职工作', '标注结果整理', '数据标注', '标注数据分析', '', '', '', '', '', '', '', '', '', '', '']",3-4K,大专,朝阳
兼职讲师(人工智能),"['人工智能产品', '智能硬件产品']",25-50K,硕士,北京
人工智能标注师,['Java'],3-5K,大专,太原
人工智能产品经理,"['平台产品', '人工智能产品', '移动端产品', '智能硬件产品', '', '']",5-6K·14薪,高中,绍兴
人工智能技术总监,"['服务器配置', '网络交换技术']",9-12K,本科,武汉
人工智能项目经理,"['企业内部技术项目管理', '计算机相关专业', '软件研发经验', '', '', '', '']",40-70K,硕士,南京
人工智能数据标注师,"['全职工作', '数据标注', '标注数据分析', '图片标注', '文本标注', '', '', '', '', '']",4-8K,高中,汉中
人工智能算法工程师-初级（实习）,"['自然语言处理', '深度学习算法', '机器学习算法', 'TensorFlow', '', '']",4-7K,本科,北京
专利分析工程师（人工智能方向）,['专利代理资格'],15-20K,本科,深圳
K12教育人工智能夏令营负责人,"['教务管理', '辅导员', '教学管理']",8-10K,本科,福州
